185.177.72.202 - - [07/Aug/2025:23:06:57 +0000] "GET /config.old.php HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:58 +0000] "GET /database_old.json HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:58 +0000] "GET /settings.bak HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:58 +0000] "GET /docker/.env HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:58 +0000] "GET /.aws/credentials HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:58 +0000] "GET /config.yaml HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:59 +0000] "GET /settings.yaml HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:59 +0000] "GET /helm/values.yaml HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:59 +0000] "GET /main.js HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:59 +0000] "GET /index.js HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:06:59 +0000] "GET /app.js HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:07:00 +0000] "GET /bundle.js HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:07:00 +0000] "GET /*.map HTTP/1.1" 200 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:07:00 +0000] "GET /pinfo.php HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:07:00 +0000] "GET /sysinfo.php HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:07:00 +0000] "GET /systeminfo.php HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:07:01 +0000] "GET /php-version.php HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:07:01 +0000] "GET /serverinfo.php HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:07:01 +0000] "GET /phpinf.php HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:07:01 +0000] "GET /phpv.php HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
185.177.72.202 - - [07/Aug/2025:23:07:01 +0000] "GET /next.config.js HTTP/1.1" 404 9942 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
